id,name,serving,unit,calories,protein,carbs,fat,source,brand,altUnits,gPerBaseU,tag
1,Almond Butter - Creamy - HEB,1,tbsp,95,3,3,8,,,,,
2,Almonds - Raw - HEB,100,g,571,21.5,21.5,50,,,,,
3,Apple,100,g,52,0.4,12,0,,,,,
4,Asparagus,1,oz,6,0.7,0.8,0,,,g,,
5,Avocado,100,g,127,1.3,6,12,,,,,
6,Bagel - Plain - Thomas',,x,270,10,53,1.5,,,,,
7,Banana,100,g,57,0.5,13.5,0,,,,,
8,Black Beans - Goya,1,can,455,28,80.5,1.75,,,,,
9,Bell Pepper - Green,1,oz,6,0.2,1.4,0,,,g,,
10,Black Beans - HEB,1,cup,385,24.5,73.5,0,,,,,
11,Bread - Whole Wheat - Nature's Own,1,x,60,3,12,0.5,,,,,
12,Broccoli Florets - Bonipak,100,g,35,3.5,4.7,0,,,,,
13,Broccoli Florets - HEB,100,g,41,2.5,7,0,,,,,
14,Butter - Original - Country Crock,1,tbsp,50,0,0,5,,,,,
15,Cheddar Cheese - 2% Milk Reduced Fat - HEB,1,oz,90,8,1,6,,,g,,
16,Cheddar Cheese Shredded - Fat Free - HEB,1,cup,180,36,12,0,,,,,
17,Chicken Breast - Hill County Fare,1,oz,30,5.75,0,0.75,,,,,
18,Chipotle - Bowl WR BB Ch T + Veg,1,bowl,535,45,71,13,,,,,
19,Chipotle - Bowl WR BB Ch T + SC + Veg,1,bowl,645,47,73,22,,,,,
20,Chipotle - Bowl WR BB Ch T + SC + Guac + Veg,1,bowl,885,49,81,44,,,,,
21,Chips - Lightly Salted - Pringles,1,x,10,0.1,1,0.6,,,,,
22,Chop Shop - Teriyaki Chk + Brown R + Roasted Veg,1,x,797,44.5,113,21,,,,,
23,Cliff Bar - Chocolate - Builders Protein,1,x,280,20,31,9,,,,,
24,Corn - Whole Kernel - Hill Country Fare,1,cup,160,2,34,2,,,,,
25,Cottage Cheese - 4% Milk Fat - Breakstone's,1,cup,240,24,12,10,,,,,
26,Cream Cheese - Philadelphia,1,tbsp,30,1.5,1,2.6,,,,,
27,Croissant - Plain - HEB Bakery,1,x,290,5,31,16,,,,,
28,Danish - Apple - Bon Appetit,1,x,500,6,54,26,,,,,
29,Danish - Blueberry - Bon Appetit,1,x,480,6,52,26,,,,,
30,Dominos - Parmesan Bread Bites,1,pc,52.5,1,7,2,,,,,
31,Dumplings - Crispy Spicy Chk & Veg - Bibigo,1,bag,550,18,63,25,,,,,
32,Egg - Brown Large Cage Free - HEB,1,x,70,6,0,5,,,,,
33,Fries - Regular Cut - Hill County Fare,1,oz,43.3,0.7,7,1.3,,,g,,
34,Fries - Crinkle Cut - Hill County Fare,1,oz,33.3,0.7,5.3,1,,,g,,
35,Frozen Fruits - Berries & Cherries Blend - HEB,100,g,50,0.7,12,0.35,,,,,
36,Frozen Fruits - Dragon Fruit Tropical Med - HEB,100,g,64,0.7,15.7,0,,,,,
37,Granola - Classic - Red Mill,1,cup,440,12,84,6,,,,,
38,Granola - Nut Crunch - HEB,1,cup,435,9,52.5,21,,,,,
39,Greek Yogurt 2% - Fage Total,1,cup,120,12,13,2.5,,,,,
40,Ground Beef - 93% - HEB,1,oz,43,6,0,2,,,g,,
41,Ground Turkey - 85% - HEB,1,oz,60,5,0,4,,,g,,
42,Ground Turkey - 93% - HEB,1,oz,40,6,0,2,,,g,,
43,Hamburger Seeded Buns - HEB,1,bun,180,6,33,2.5,,,,,
44,Honey - Wildflower - Goodflow Honey,1,tbsp,70,0,17,0,,,,,
45,Ice Cream - Chocolate Caramel Br - HT,1,x,360,19,72,8,,,,,
46,Ice Cream - Chocolate Ice Cream Cake - HT,1,x,360,18,69,11,,,,,
47,Ice Cream - Cookies & Cream - HT,1,x,310,16,69,6,,,,,
48,Ice Cream - Sea Salt Caramel - HT,1,x,300,16,68,5,,,,,
49,Jam - Apricot - Smucker's,1,tbsp,50,0,13,0,,,,,
50,Jam - Blackberry - HEB,1,tbsp,30,0,7,0,,,,,
51,Jam - Blackberry - Smucker's,1,tbsp,50,0,13,0,,,,,
52,Jam - Strawberry - Smucker's,1,tbsp,50,0,13,0,,,,,
53,Ketchup - Heinz,1,tbsp,20,0,5,0,,,,,
54,Korean BBQ Sauce - Primal Kitchen,1,tbsp,10,0,3,0.5,,,,,
55,Milk - 2% Reduced Fat - Shamrock,1,cup,140,9,14,5,,,,,
56,Milk - Almond Unsweetened - HH HEB,1,cup,30,1,1,3,,,,,
57,Milk - Whole - HEB,1,cup,150,8,12,8,,,,,
58,Mozzarella - Shredded Low Moist Part Skim - HFC,1,cup,320,24,8,24,,,,,
59,Mustard - French's,1,tbsp,0,0,0,0,,,,,
60,Oats - Old Fashioned - HEB,1,cup,300,10,54,5,,,,,
61,Oil - Vegetable - Hill Country Fare,1,tbsp,120,0,0,14,,,,,
62,Olive - Oil Extra Virgin- Bertolli,1,tbsp,120,0,0,14,,,,,
63,Onion,1,oz,11,0.3,2.6,0,,,g,,
64,Panda - Bowl Chow Mein + Honey Sesame,1,x,940,31,129,38,,,,,
65,Panda - Bowl Chow Mein + Orange Chk,1,x,1110,41,147,47,,,,,
66,Panda - Bowl Fried Rice + Honey Sesame Chk,1,x,960,29,136,34,,,,,
